"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
59,0,2222242,"520110","2"
74,0,2008745,"520110","2"
57,0,2029395,"520110","2"
70,0,2032065,"520110","2"
58,0,2021324,"520110","2"
69,0,2035254,"520110","2"
76,0,2019574,"520110","2"
39,0,2040344,"520110","2"
53,0,2022424,"520110","2"
55,0,2185303,"520110","2"
40,0,2227393,"520110","2"
76,0,1997565,"520110","2"
67,0,2008425,"520110","2"
66,0,2016325,"520110","2"
49,0,2007795,"520110","2"
55,0,2002055,"520110","2"
67,0,2000875,"520110","2"
59,0,2007605,"520110","2"
59,0,2009265,"520110","2"
51,0,2030924,"520110","2"
56,0,2040094,"520110","2"
70,0,2024324,"520110","2"
43,0,2038274,"520110","2"
54,1,2002205,"520110","2"
67,0,2025844,"520110","2"
52,0,2018404,"520110","2"
91,0,2178553,"520110","2"
63,0,2173983,"520110","2"
52,0,2190173,"520110","2"
40,0,2172963,"520110","2"
36,0,2018564,"520110","2"
48,0,2174764,"520110","2"
69,0,2208612,"520110","2"
38,0,2202452,"520110","2"
41,0,2210892,"520110","2"
43,0,1999375,"520110","2"
35,0,2012625,"520110","2"
72,0,2006005,"520110","2"
52,0,2170563,"520110","2"
38,0,2192053,"520110","2"
51,0,2202382,"520110","2"
67,0,2221462,"520110","2"
68,0,2217212,"520110","2"
79,0,2013185,"520110","2"
82,0,2014165,"520110","2"
63,0,2013085,"520110","2"
72,0,2005195,"520110","2"
104,0,2007145,"520110","2"
100,0,2035904,"520110","2"
95,0,2174723,"520110","2"
96,0,2174723,"520110","2"
97,0,2174723,"520110","2"
55,0,2186123,"520110","2"
72,0,2177223,"520110","2"
52,0,2192723,"520110","2"
51,0,2209092,"520110","2"
55,0,2223682,"520110","2"
63,0,2211122,"520110","2"
55,2,2211002,"520110","2"
67,0,2225353,"520110","2"
48,0,2014335,"520110","2"
77,0,2012235,"520110","2"
66,0,2007575,"520110","2"
67,2,2007575,"520110","2"
41,0,1995745,"520110","2"
38,0,2013545,"520110","2"
75,0,2033194,"520110","2"
98,0,2036814,"520110","2"
48,0,2023174,"520110","2"
62,0,2190573,"520110","2"
48,0,2171903,"520110","2"
54,0,2189833,"520110","2"
55,0,2030585,"520110","2"
73,0,2172723,"520110","2"
37,0,2225413,"520110","2"
53,0,2172323,"520110","2"
73,0,2218202,"520110","2"
59,0,2200652,"520110","2"
42,0,2205492,"520110","2"
54,0,2222312,"520110","2"
54,0,2219102,"520110","2"
51,0,2221752,"520110","2"
45,0,2218022,"520110","2"
51,0,1996205,"520110","2"
96,0,1997325,"520110","2"
97,0,1997325,"520110","2"
70,0,1999755,"520110","2"
55,0,2014075,"520110","2"
47,0,2030874,"520110","2"
61,0,2022274,"520110","2"
64,0,2034754,"520110","2"
43,0,2023484,"520110","2"
71,0,2028694,"520110","2"
58,0,2189633,"520110","2"
61,0,2169223,"520110","2"
32,0,2226543,"520110","2"
45,0,2186163,"520110","2"
56,0,2187163,"520110","2"
42,0,2174943,"520110","2"
65,0,2222502,"520110","2"
47,0,2223012,"520110","2"
85,0,2221052,"520110","2"
86,0,2221052,"520110","2"
54,0,2201662,"520110","2"
46,0,2198562,"520110","2"
45,0,2206292,"520110","2"
47,0,2215912,"520110","2"
35,0,2227215,"520110","2"
41,0,2225314,"520110","2"
57,0,2007615,"520110","2"
53,0,2015655,"520110","2"
52,1,2004905,"520110","2"
52,2,2004905,"520110","2"
45,1,2012145,"520110","2"
45,2,2012145,"520110","2"
81,0,2030544,"520110","2"
63,0,2032264,"520110","2"
64,0,2032264,"520110","2"
85,0,2033244,"520110","2"
37,0,2183183,"520110","2"
39,0,2193853,"520110","2"
59,0,2223202,"520110","2"
60,0,2223202,"520110","2"
45,0,2218544,"520110","2"
29,0,2198342,"520110","2"
37,0,2194725,"520110","2"
47,0,2220592,"520110","2"
49,0,2201152,"520110","2"
52,0,2209942,"520110","2"
54,0,2015715,"520110","2"
45,0,1999185,"520110","2"
65,0,2025934,"520110","2"
38,0,2031414,"520110","2"
50,0,2022734,"520110","2"
30,0,2041334,"520110","2"
44,0,2035384,"520110","2"
39,0,2175273,"520110","2"
63,0,2176263,"520110","2"
80,0,2176873,"520110","2"
98,0,2206922,"520110","2"
32,0,2201192,"520110","2"
72,0,2222972,"520110","2"
73,0,2222972,"520110","2"
74,0,2222972,"520110","2"
39,0,2200682,"520110","2"
56,0,2006745,"520110","2"
41,0,2013325,"520110","2"
68,0,2037164,"520110","2"
39,0,2035584,"520110","2"
77,0,2038864,"520110","2"
72,0,2174263,"520110","2"
32,0,2177493,"520110","2"
29,0,2031735,"520110","2"
45,0,2011535,"520110","2"
93,0,2009935,"520110","2"
35,0,2167284,"520110","2"
67,0,2032504,"520110","2"
53,0,2172043,"520110","2"
77,0,2178193,"520110","2"
51,0,2204722,"520110","2"
51,0,2203392,"520110","2"
56,0,2003205,"520110","2"
90,0,2002925,"520110","2"
69,0,2009135,"520110","2"
41,0,2007085,"520110","2"
82,0,2036734,"520110","2"
62,0,2166194,"520110","2"
50,0,2018584,"520110","2"
47,2,2193093,"520110","2"
43,0,2212382,"520110","2"
25,0,2195715,"520110","2"
98,0,2011965,"520110","2"
38,0,1999805,"520110","2"
