"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20101",1999515,17,0,"1","160","D","12","D",4,"D"
"20101",1999525,13,0,"1","150","D","13","D",10,"D"
"20101",1999605,16,0,"1","150","D","13","D",80,"D"
"20101",1999615,13,0,"1","150","D","13","D",160,"D"
"20101",1999615,14,0,"1","160","D","12","D",60,"D"
"20101",1999625,16,0,"1","170","D","12","D",300,"D"
"20101",1999625,17,0,"1","150","D","13","D",65,"D"
"20101",1999625,18,0,"1","160","D","13","D",35,"D"
"20101",1999655,15,0,"1","170","D","02","D",50,"D"
"20101",1999655,16,0,"1","150","D","13","D",50,"D"
"20101",1999665,15,0,"1","170","D","13","D",100,"D"
"20101",1999665,16,0,"1","150","D","13","D",10,"D"
"20101",1999685,21,0,"1","160","D","12","D",25,"D"
"20101",1999715,37,0,"1","170","D","13","D",50,"D"
"20101",1999715,38,0,"1","170","D","12","D",20,"D"
"20101",1999715,39,0,"1","170","D","12","D",100,"D"
"20101",1999715,40,0,"1","170","D","12","D",10,"D"
"20101",1999715,41,0,"1","170","D","12","D",50,"D"
"20101",1999715,42,0,"1","170","D","12","D",80,"D"
"20101",1999715,43,0,"1","160","D","13","D",10,"D"
"20101",1999715,44,0,"1","150","D","13","D",25,"D"
"20101",1999715,45,0,"2","170","D","10","D",50,"D"
"20101",1999715,46,0,"2","170","D","10","D",45,"D"
"20101",1999715,47,0,"2","160","D","10","D",25,"D"
"20101",1999755,17,0,"1","100","D","01","D",600,"D"
"20101",1999755,18,0,"1","170","D","11","D",100,"D"
"20101",1999755,19,0,"1","170","D","12","D",850,"D"
"20101",1999755,20,0,"1","170","D","11","D",50,"D"
"20101",1999755,21,0,"1","160","D","12","D",700,"D"
"20101",1999765,14,0,"1","150","D","12","D",250,"D"
"20101",1999765,15,0,"1","150","D","01","D",250,"D"
"20101",1999785,13,0,"1","160","D","13","D",50,"D"
"20101",1999785,14,0,"1","150","D","13","D",40,"D"
"20101",1999795,16,0,"1","170","D","11","D",217,"D"
"20101",1999795,17,0,"1","170","D","12","D",105,"D"
"20101",1999795,18,0,"1","170","D","01","D",50,"D"
"20101",1999795,19,0,"1","160","D","11","D",215,"D"
"20101",1999795,20,0,"1","160","D","12","D",473,"D"
"20101",1999795,21,0,"1","160","D","01","D",390,"D"
"20101",1999805,14,0,"1","150","D","13","D",100,"D"
"20101",1999825,16,0,"1","160","D","12","D",125,"D"
"20101",1999895,13,0,"1","160","D","13","D",119,"F"
"20101",1999905,18,0,"1","170","D","12","D",600,"D"
"20101",1999905,19,0,"1","160","D","12","D",25,"D"
"20101",1999905,20,0,"2","170","D","10","D",50,"D"
"20101",1999925,16,0,"1","160","D","13","D",15,"D"
"20101",1999925,17,0,"1","150","D","13","D",200,"D"
"20101",1999935,19,0,"1","100","D","12","D",900,"D"
"20101",1999955,18,0,"2","170","D","12","D",100,"D"
"20101",1999965,19,0,"1","170","D","12","D",1120,"D"
"20101",1999965,20,0,"1","160","D","13","D",32,"D"
"20101",1999985,24,0,"1","160","D","13","D",25,"D"
"20101",1999985,25,0,"1","160","D","12","D",20,"D"
"20101",1999985,26,0,"1","150","D","12","D",61,"D"
"20101",1999985,27,0,"1","150","D","01","D",375,"D"
"20101",1999985,28,0,"1","150","D","11","D",40,"D"
"20101",1999985,29,0,"1","150","D","12","D",40,"D"
"20101",1999985,30,0,"1","150","D","01","D",40,"D"
"20101",1999985,31,0,"2","170","D","11","D",15,"D"
