"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20103",2174265,66,0,"1",.,"A",.,"A",28,"D"
"20103",2174495,38,0,"1",.,"A",.,"A",45,"D"
"20103",2174605,56,0,"1",.,"A",.,"A",20,"D"
"20103",2174875,28,0,"1",120,"D",.,"A",.,"A"
"20103",2174935,58,0,"1",.,"A",.,"A",0,"D"
"20103",2175175,33,0,"1",30,"D",.,"A",.,"A"
"20103",2175235,18,0,"1",20,"D",.,"A",20,"D"
"20103",2175275,45,0,"1",.,"A",.,"A",100,"D"
"20103",2175305,41,0,"1",30,"D",.,"A",.,"A"
"20103",2175335,55,0,"1",48,"D",.,"A",.,"A"
"20103",2175525,59,0,"1",0,"D",.,"A",.,"A"
"20103",2175625,60,0,"1",10,"D",.,"A",.,"A"
"20103",2176025,66,0,"1",60,"D",.,"A",.,"A"
"20103",2176045,57,0,"1",.,"A",.,"A",80,"D"
"20103",2176105,39,0,"1",.,"A",.,"A",300,"D"
"20103",2176195,24,0,"1",0,"D",.,"A",.,"A"
"20103",2176725,56,0,"1",.,"A",.,"A",540,"D"
"20103",2176735,40,0,"1",.,"A",.,"A",15,"D"
"20103",2176755,38,0,"1",.,"A",.,"A",0,"D"
"20103",2176775,35,0,"1",60,"D",.,"A",.,"A"
"20103",2177225,62,0,"1",20,"D",.,"A",.,"A"
"20103",2177635,40,0,"1",.,"A",.,"A",40,"D"
"20103",2177895,36,0,"1",10,"D",.,"A",.,"A"
"20103",2177995,66,0,"1",.,"A",.,"A",120,"D"
