"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD"
"20092",1982473,51,0,"1",1300,"D",195,"D",195,"D",1300,"D",210,"D",.,"A",.,"A",108,"D",1105,"D","2","D"
"20092",1982495,44,0,"1",1495,"D",260,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1235,"D","2","D"
"20092",1982503,49,0,"1",780,"D",0,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",780,"D","2","D"
"20092",1982513,38,0,"1",975,"D",104,"D",.,"A",78,"D",.,"A",.,"A",.,"A",.,"A",871,"D","2","D"
"20092",1982523,39,0,"1",1040,"D",0,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",1040,"D","2","D"
"20092",1982533,40,0,"1",2210,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","2","D"
"20092",1982553,52,0,"1",1300,"D",325,"D",26,"D",975,"D",60,"D",.,"A",.,"A",.,"A",975,"D","2","D"
"20092",1982563,47,0,"1",3250,"D",975,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",2275,"D","2","D"
"20092",1982573,68,0,"1",1625,"D",325,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1982585,57,0,"1",650,"D",0,"D",130,"D",585,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20092",1982593,60,0,"1",975,"D",65,"D",.,"A",871,"D",0,"D",.,"A",.,"A",.,"A",910,"D","2","D"
"20092",1982603,48,0,"1",1560,"D",260,"D",.,"A",520,"D",.,"A",.,"A",.,"A",120,"D",1300,"D","2","D"
"20092",1982613,80,0,"1",975,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",780,"D","2","D"
"20092",1982623,36,0,"1",390,"D",78,"D",65,"D",0,"D",.,"A",.,"A",.,"A",.,"A",312,"D","2","D"
